,Company,Location,Role
121,ContractKen,Work From Home,Machine Learning (NLP)
122,DrMachine Solutions Private Limited,Work From Home,Data Analytics & Data Engineering
123,Xpress Minds Edutainment Private Limited,Delhi,Quality Assurance & Quality Checking
124,KUKbit Software Lab,Pune,Data Science
125,UNIO Labs,Hyderabad,Business Analysis
126,Angels Virtual World,Delhi,Machine Learning
127,Velozity Global Solutions,Work From Home,Machine Learning
128,Tiket,Work From Home,Data Analysis
129,Kasper Consulting Private Limited,Gurgaon,Business Analyst
130,Feynn Labs,Work From Home,Machine Learning
131,On My Own Technology Private Limited,Delhi,Machine Learning/Artificial Intelligence
132,Whealthyfy Health Tech Private Limited,Thane,Business Analytics
133,Hitouch Technologies Private Limited,Agra,Business Analytics
134,Navyug Infosolutions Private Limited,Work From Home,Business Analytics
135,ERP DADDY Software Solutions,Agra,Business Analytics
136,Bzaar,Bangalore,Research Analyst
137,Ruby Capital,Pune,Financial Analysis
138,KUKbit Software Lab,Work From Home,Machine Learning
139,KUKbit Software Lab,Work From Home,Data Science
140,Sunfox Technologies Private Limited,Dehradun,Data Analysis
141,Mansa,Work From Home,Data Analysis
142,Tech2Globe Web Solutions LLP,Delhi,Business Analytics
143,INSAID,Work From Home,Data Science Research
144,EQOURSE,Work From Home,Business Development
145,TheRightDoctors,Work From Home,Content Research
146,Clerk-Tech,Work From Home,Sales
147,Pucho Digital Health Inc.,Work From Home,Deep Learning Research
148,Writers For Assignment,Jaipur,Financial Research Analyst
149,Constems-AI Systems Private Limited,Work From Home,DNN - Deep Neural Network & Machine Learning (AI Application)
150,Revca,Work From Home,Wastewater And Water Management Engineering
151,Offduty India,Mumbai,Data Analytics
152,Wildermart,Work From Home,Business Analytics
153,EnR Consultancy Services,Work From Home,Machine Learning
154,Bilateral Solutions Private Limited,Manali,Quality Analysis
155,Translab Technologies Private Limited,Chandigarh,Big Data
156,Digite Incorporated,Work From Home,Data Engineering
157,Careervira,Work From Home,Partnership Account Management
158,The Tann Mann Foundation,Work From Home,Machine Learning Engineering
159,Next Generation Skills Analytics And Testing Private Limited,Work From Home,Market Research and Analytics
160,Regal InfoNet,Work From Home,Zoho CRM Implementation & Development
