,Company Name,Location.1,JOB,Python,SQL,R language,Linux,Cloud,Revenue,No of employee,Tablue,Clusters
2,Kaplan,Bengaluru,Data Scientist,1,0,0,0,AWS,1.3,12000,0,4
8,3SC Solutions,India,Data Scientist,1,0,0,0,AWS,0.055,221,0,4
11,Jumio Corporation,Jaipur,Data Scientist,0,0,0,0,AWS,0.0005,1085,0,4
13,Microland,Bengaluru,Data Scientist,1,1,0,0,AWS,7.62,4500,0,4
14,Onward Group,Chennai,NLP,1,1,0,1,Azure,0.03,2700,0,4
17,Indium Software,Remote,Data Scientist,0,1,0,0,AWS,0.0773,2000,0,4
19,Narayana Health,Bengaluru,Data Scientist,1,1,0,0,AWS,0.42,11261,0,4
21,citius tech,Remote in Goa,Data Scientist,1,0,1,0,AWS,0.2,600,0,4
22,AIBridge ML,Hyderabad,Data Scientist,0,0,1,1,AWS,0.05,30,0,4
23,Confluent,Temporarily Remote,Data Scientist,1,0,1,0,AWS,338.3,1473,0,4
31,Global Industrial,Mumbai,Data Scientist,0,0,0,0,AWS,1.26,27,0,4
34,Narayana Health,Bengaluru,Data Scientist,1,1,1,0,AWS,0.42,11261,0,4
36,Société Générale,Bengaluru,Data Scientist,0,1,0,1,AWS,,20,0,4
39,dunnhumby,Gurgaon,Data Scientist,0,1,0,0,AWS,0.444,3124,0,4
41,Coinbase,Remote,Data Scientist,1,0,0,1,AWS,1.14,1249,0,4
44,Bolt,Bengaluru,Data Scientist,1,0,0,1,AWS,0.221,3818,0,4
45,umlaut AG,Bengaluru,Data Scientist,0,0,0,0,AWS,0.476,4500,0,4
47,Fractal.ai,Pune,Data Scientist,1,0,0,0,AWS,0.1,2500,0,4
48,Confluent,Temporarily Remote,Data Scientist,1,0,0,1,AWS,338.3,1473,0,4
50,Tredence,Gurgaon,Data Scientist,1,1,0,0,AWS,0.0302,1050,0,4
51,Casepoint Pvt. Ltd.,Surat,Data Scientist,0,0,0,1,AWS,0.1909,635,0,4
54,Cliksource,Remote,Data Scientist,0,0,0,0,AWS,0.5,111,0,4
60,CityLink Technology Solutions,Pune,Data Scientist,0,0,0,0,Both or Didnt Specift,0.005,25,0,4
62,Sofar Ocean,San,Data Scientist,1,0,0,0,Both or Didnt Specift,0.002,27,0,4
64,Fractal.ai,Pune,Data Scientist,0,0,0,0,Both or Didnt Specift,0.1,2500,0,4
66,Walmart Global Tech India,Bengaluru,Data Scientist,1,0,0,0,Both or Didnt Specift,40.65,"10,000",0,4
67,Oportun Inc,Remote in India,Data Scientist,1,1,0,1,Both or Didnt Specift,0.583,"1,474",0,4
68,Crowe,Noida,Data Scientist,1,0,0,0,Both or Didnt Specift,44,"4,440",0,4
