,Company Name,Location.1,JOB,Python,SQL,R language,Linux,Cloud,Revenue,No of employee,Tablue,Clusters
7,"JPMorgan Chase Bank, N.A.",Bengaluru,Data Scientist,1,0,0,1,AWS,119.54,256105,0,2
18,"JPMorgan Chase Bank, N.A.",Bengaluru,Data Scientist,0,0,0,0,AWS,119.54,256105,0,2
40,"JPMorgan Chase Bank, N.A.",Bengaluru,Data Scientist,0,0,0,0,AWS,119.54,256105,0,2
92,IBM,Bengaluru,Analytics,0,0,0,1,Both or Didnt Specift,5.735,"2,70,000",1,2
113,IBM,Bengaluru,Data Engineer,1,0,0,0,AWS,5.735,"2,70,000",1,2
117,IBM,Mumbai,Data Scientist,0,1,0,0,AWS,5.735,"2,70,000",0,2
146,Infosys Limited,Bengaluru,Data Scientist,0,0,1,0,AWS,14,260000,0,2
168,Infosys Limited,Bengaluru,Data Scientist,0,0,0,0,AWS,14,260000,0,2
304,Infosys Limited,Pune,Machine learning and Python Developer,0,0,0,0,Both or Didnt Specift,14,260000,0,2
318,"JPMorgan Chase Bank, N.A.",Bengaluru,Data Scientist,1,0,0,0,Azure,119.54,256105,0,2
390,IBM,Ahmedabad,Data Scientist,0,1,0,1,Azure,5.735,"2,70,000",0,2
396,IBM,Ahmedabad,AI Applications Support Engineer,0,0,1,0,AWS,5.735,"2,70,000",0,2
455,IBM,Mumbai,Data Scientist,1,0,0,0,Both or Didnt Specift,5.735,"2,70,000",0,2
504,AT&T,Bengaluru,Data Scientist,0,0,0,0,Both or Didnt Specift,168,230000,0,2
537,"JPMorgan Chase Bank, N.A.",Bengaluru,Data Scientist,1,0,0,0,Both or Didnt Specift,119.54,256105,0,2
540,The Walt Disney Company (Corporate),Mumbai,Data Scientist,0,0,0,0,Both or Didnt Specift,67.418,223000,0,2
571,"JPMorgan Chase Bank, N.A.",Bengaluru,Analytics,0,0,0,0,AWS,119.54,256105,1,2
614,IBM,Ahmedabad,Technical Architect - Data & AI_Eco,0,0,1,0,AWS,5.735,"2,70,000",0,2
701,IBM,Kochi,Consultant,1,0,0,1,Azure,5.735,"2,70,000",0,2
711,HSBC,Temporarily Remote in Kolkata,Data Scientist,1,0,0,1,AWS,50.429,226059,0,2
737,"JPMorgan Chase Bank, N.A.",Hyderabad,ML Engineer,1,0,0,0,Azure,119.54,256105,0,2
801,"JPMorgan Chase Bank, N.A.",Bengaluru,Analytics,1,0,0,0,Both or Didnt Specift,119.54,256105,1,2
823,"JPMorgan Chase Bank, N.A.",Mumbai,Data Scientist,1,1,0,1,AWS,119.54,256105,0,2
872,HSBC,Bengaluru,Data Scientist,0,0,0,1,AWS,50.429,226059,0,2
934,"JPMorgan Chase Bank, N.A.",Bengaluru,Data Scientist,0,0,1,0,AWS,119.54,256105,0,2
964,"JPMorgan Chase Bank, N.A.",Mumbai,newQR - Wholesale Credit Risk - Associate,1,0,0,1,Both or Didnt Specift,119.54,256105,0,2
974,KPMG,Mumbai,Consultant,1,0,0,1,Both or Didnt Specift,14.3,236000,0,2
983,"JPMorgan Chase Bank, N.A.",Mumbai,Analytics,0,0,0,0,AWS,119.54,256105,1,2
