,Company Name,Location.1,JOB,Python,SQL,R language,Linux,Cloud,Revenue,No of employee,Tablue,Clusters
1,Standard Chartered,Chennai,Data Scientist,1,0,0,1,AWS,14.701,85000,0,3
10,Maersk,Pune,Data Scientist,0,0,0,1,AWS,39,83000,0,3
27,Kyndryl,India,Data Scientist,0,1,0,0,AWS,18.6,90000,0,3
46,Kyndryl,India+1 location,Data Scientist,0,1,0,0,AWS,18.6,90000,0,3
52,Honeywell,Hyderabad,Data Scientist,1,0,0,1,AWS,32.392,103000,0,3
53,Intel,Bengaluru,Software Engineer,0,0,0,0,AWS,79.02,121100,0,3
59,SAP,Gurgaon,Data Scientist,1,0,0,0,AWS,0.030859,"1,07,415",0,3
89,Shell,Bengaluru,Data Scientist,0,1,0,0,Both or Didnt Specift,26.150,"86,000",0,3
90,Intel,Bengaluru,Analytics,0,1,0,0,Both or Didnt Specift,79.02,121100,1,3
100,Vodafone,Pune,newDeputy Manager_Assitant Lead-ERP_Data scientist_Pune,1,0,0,0,Azure,50.011,"93,000",0,3
101,Standard Chartered,Chennai,Data Scientist,1,1,0,1,AWS,14.701,85000,0,3
107,Intel,Bengaluru,Data Scientist,1,0,0,0,AWS,79.02,121100,0,3
114,thyssenkrupp India Pvt. Ltd.,Pune,Data Scientist,0,0,1,1,AWS,32.384,"1,03,598",0,3
118,Vodafone,Pune,Data Scientist,1,0,0,0,AWS,50.011,"93,000",0,3
124,GSK,Bengaluru,Data Scientist,0,1,1,0,AWS,11.644,"94,000",0,3
129,Honeywell,Bengaluru,Data Scientist,0,0,0,0,AWS,32.392,103000,0,3
139,Vodafone,Pune,Data Scientist,1,1,0,1,AWS,50.011,"93,000",0,3
140,Honeywell,Bengaluru,Data Scientist,1,0,0,0,AWS,32.392,103000,0,3
149,Michelin,Pune,Computer Vision,0,1,0,0,Both or Didnt Specift,26.015,127000,0,3
177,Medtronic,Telangana,Data Scientist,1,0,0,0,AWS,30.117,104950,0,3
179,Honeywell,Bengaluru,Data Scientist,0,1,0,1,AWS,32.392,103000,0,3
192,Vodafone,Pune,Data Scientist,1,1,0,1,AWS,50.011,"93,000",0,3
193,Intel,Bengaluru,Analytics,1,0,1,0,Azure,79.02,121100,1,3
203,Standard Chartered,Bengaluru,Data Scientist,0,0,0,1,Both or Didnt Specift,14.701,85000,0,3
226,Medtronic,Nanakramguda,Data Scientist,0,0,0,0,Both or Didnt Specift,30.117,104950,0,3
234,Vodafone,Pune,Data Scientist,0,1,0,1,Both or Didnt Specift,50.011,"93,000",0,3
284,Shell,Chennai,Data Scientist,0,0,0,0,Both or Didnt Specift,26.150,"86,000",0,3
