,Company Name,Location.1,JOB,Python,SQL,R language,Linux,Cloud,Revenue,No of employee,Tablue,Clusters
0,Bosch Group,Bengaluru,Data Scientist,0,0,0,0,AWS,77.721,31000,0,0
3,Corteva Agriscience,Hyderabad,Data Scientist,1,0,0,1,AWS,14.271,21000,0,0
9,Orange Business Services,India,Data Scientist,1,1,0,1,AWS,8.41,21000,0,0
12,Expleo,Pune,Data Scientist,0,0,1,1,AWS,1.5,15000,0,0
15,Smiths Detection,Bengaluru,Data Scientist,1,1,0,1,AWS,2.793,14600,0,0
16,DBS Bank,Maharashtra,Data Scientist,1,0,0,0,AWS,10.28,24174,0,0
20,DBS Bank,Tamil Nadu,Data Scientist,1,1,0,1,AWS,10.28,24174,0,0
24,MasterCard,Gurgaon,Data Scientist,1,1,0,0,AWS,18.88,24000,0,0
26,Qualfon,India,Data Scientist,0,0,0,0,AWS,0.4,16000,0,0
33,Sutherland,Hyderabad,Analytics,1,1,0,1,AWS,1.1,28856,1,0
37,Sutherland,Hyderabad,Analytics,1,0,0,0,Azure,1.1,28856,1,0
42,Visa,Bengaluru,Data Scientist,1,1,0,0,AWS,21.85,20500,0,0
43,HDFC Life,Bengaluru,Data Scientist,1,1,0,0,AWS,0.22,16544,0,0
58,Philips,Bengaluru,Data Scientist,0,1,0,0,AWS,22.19,"21,483",0,0
65,Bosch Group,Bengaluru,Data Scientist,1,0,0,1,Both or Didnt Specift,77.721,31000,0,0
69,Bosch Group,Bengaluru,Data Scientist,1,0,0,0,Both or Didnt Specift,77.721,31000,0,0
72,Uber,Hyderabad,Data Scientist,1,1,0,0,Both or Didnt Specift,1.13,"22,800",0,0
74,Signify,Bengaluru,Data Scientist,1,1,0,0,Both or Didnt Specift,2.008,"37,000",0,0
82,Bosch Group,Bengaluru,Data Scientist,1,0,0,1,Both or Didnt Specift,77.721,31000,0,0
86,Ford Global Business Services,Chennai,Data Scientist,0,0,0,0,Both or Didnt Specift,127,"14,000",0,0
91,Lam Research,Bengaluru,Data Scientist,0,1,0,0,Both or Didnt Specift,4.2266,"14,100",0,0
94,Bosch Group,Bengaluru,Data Scientist,1,1,0,0,Both or Didnt Specift,77.721,31000,0,0
102,Boston Consulting Group,New Delhi,Data Scientist,0,1,0,0,AWS,8.60,"21,000",0,0
105,Brose,Hinjawadi,Data Scientist,0,0,0,0,AWS,1.89,"25,000",0,0
109,Maruti Suzuki India Ltd,Gurgaon,Data Scientist,1,1,0,0,AWS,10,"19,945",0,0
128,Uber,Hyderabad,Data Scientist,1,0,0,1,AWS,1.13,"22,800",0,0
130,Signify,Bengaluru,Data Scientist,0,0,0,1,AWS,2.008,"37,000",0,0
136,Qualfon,India,Data Scientist,0,0,0,0,AWS,0.4,16000,0,0
150,Amazon Dev Center India - Hyd,India,Data Scientist,0,0,0,0,AWS,5,15000,0,0
154,HGS,Bengaluru,ASSOCIATE DATA SCIENTIST,1,1,0,1,Azure,0.753,41110,0,0
157,S&P Global,Ahmedabad,Data Scientist,0,1,0,1,AWS,6.036,22500,0,0
163,Assurant,Mumbai,Data Scientist,1,1,0,1,AWS,10.094,14250,0,0
166,Boston Consulting Group,New Delhi,Data Scientist,0,1,0,0,AWS,8.60,"21,000",0,0
167,Bosch Group,Bengaluru,Data Scientist,1,0,0,1,AWS,77.721,31000,0,0
169,Clariant,Airoli,Data Scientist,1,0,0,0,AWS,6.623,17901,0,0
175,Visa,Bengaluru,Data Scientist,0,0,0,0,AWS,21.85,20500,0,0
184,Micron,Hyderabad,ENGINEER - DATA SCIENCE,0,0,0,1,Both or Didnt Specift,21.44,40000,0,0
186,Bosch Group,Bengaluru,Data Scientist,1,0,0,0,AWS,77.721,31000,0,0
188,DBS Bank,Telangana,ML Engineer,1,0,0,1,Azure,10.28,24174,0,0
189,HDFC Life,Bengaluru,Data Scientist,0,0,0,1,AWS,0.22,16544,0,0
195,Visa,Bengaluru,Data Scientist,1,0,0,0,AWS,21.85,20500,0,0
197,Visa,Bengaluru,Data Scientist,0,1,0,0,AWS,21.85,20500,0,0
205,Syneos Health Clinical,Hyderabad,Data Scientist,1,1,0,1,Both or Didnt Specift,4.676,23000,0,0
208,Bayer,Bengaluru,Data Scientist,1,0,0,0,Both or Didnt Specift,41.4,26000,0,0
238,PayPal,Chennai,Data Scientist,0,0,0,0,Both or Didnt Specift,25.37,26500,0,0
242,Sutherland,Hyderabad,Analytics,1,1,0,0,Both or Didnt Specift,1.1,28856,1,0
263,Philips,Bengaluru,Data Scientist,0,0,0,0,Both or Didnt Specift,22.19,"21,483",0,0
265,Sutherland,Navi Mumbai,PROF-ASSOC-PRO-ANALYT - Associate Professional - Data Scient...,0,0,0,0,Both or Didnt Specift,1.1,28856,0,0
282,Brose,Hinjawadi,Data Scientist,0,0,0,0,Both or Didnt Specift,1.89,"25,000",0,0
303,Philips,Bengaluru,Software Engineer,0,0,1,1,Azure,22.19,"21,483",0,0
307,Sutherland,Bengaluru,Analytics,1,0,0,1,AWS,1.1,28856,1,0
334,Philips,Bengaluru,Data Scientist,0,1,0,1,Azure,22.19,"21,483",0,0
345,Sutherland,Bengaluru,Analytics,0,0,0,0,Both or Didnt Specift,1.1,28856,1,0
353,Lam Research,Bengaluru,Data Scientist,0,0,1,0,Azure,4.2266,"14,100",0,0
356,S&P Global,Hyderabad,Associate Director(Big Data & Cloud),0,0,0,1,AWS,6.036,22500,0,0
409,S&P Global,Mumbai,Data Scientist,1,1,0,1,Both or Didnt Specift,6.036,22500,0,0
410,Goldman Sachs,Bengaluru,Analytics,0,0,0,0,Both or Didnt Specift,44.6,40500,1,0
411,PayPal,Chennai,Data Scientist,0,0,0,0,Both or Didnt Specift,25.37,26500,0,0
412,Merkle,Pune,Data Scientist,0,0,0,0,Both or Didnt Specift,1,14000,0,0
421,Bayer,Bengaluru,Analytics,0,1,0,0,Both or Didnt Specift,41.4,26000,1,0
426,Vodafone Idea,Mumbai,Data Scientist,0,0,0,0,Both or Didnt Specift,0.0005,13520,0,0
427,Merkle,Pune,Data Scientist,1,0,0,0,Both or Didnt Specift,1,14000,0,0
435,Micron,Hyderabad,Data Scientist,1,0,0,1,Both or Didnt Specift,21.44,40000,0,0
442,Ford Global Business Services,Chennai,Analytics,0,0,0,0,AWS,127,"14,000",1,0
